,Viscosity,Angular velocity, Speed,Torque,Shear Stress,Shear Rate,Temperature
10,0.042803421723513355,1.2566370614359172,12.0,0.042,0.6034070417933564,7.048584172674736,22.0
11,0.042803421723513355,1.2566370614359172,12.0,0.042,0.6034070417933564,7.048584172674736,22.0
12,0.041784292634858264,1.2566370614359172,12.0,0.040999999999999995,0.589040207464943,7.048584172674736,22.0
13,0.041784292634858264,1.2566370614359172,12.0,0.040999999999999995,0.589040207464943,7.048584172674736,22.0
30,0.041004958625886746,1.7802358370342162,17.0,0.057,0.8189095567195551,9.985494244622542,22.1
31,0.041004958625886746,1.7802358370342162,17.0,0.057,0.8189095567195551,9.985494244622542,22.1
32,0.041004958625886746,1.7802358370342162,17.0,0.057,0.8189095567195551,9.985494244622542,22.1
33,0.041004958625886746,1.7802358370342162,17.0,0.057,0.8189095567195551,9.985494244622542,22.1
50,0.040579867348265915,2.3038346126325147,22.0,0.073,1.048778905974167,12.922404316570347,22.1
51,0.04113575594207779,2.3038346126325147,22.0,0.07400000000000001,1.0631457403025806,12.922404316570347,22.1
52,0.04169164453588964,2.3038346126325147,22.0,0.075,1.0775125746309935,12.922404316570347,22.1
53,0.0422475331297015,2.3038346126325147,22.0,0.076,1.0918794089594068,12.922404316570347,22.1
54,0.04113575594207779,2.3038346126325147,22.0,0.07400000000000001,1.0631457403025806,12.922404316570347,22.1
71,0.041580466817127265,3.1415926535897927,30.0,0.102,1.465417101498151,17.621460431686835,22.1
72,0.041580466817127265,3.1415926535897927,30.0,0.102,1.465417101498151,17.621460431686835,22.1
73,0.04076516354620321,3.1415926535897927,30.0,0.1,1.4366834328413247,17.621460431686835,22.1
74,0.04076516354620321,3.1415926535897927,30.0,0.1,1.4366834328413247,17.621460431686835,22.1
75,0.04117281518166523,3.1415926535897927,30.0,0.10099999999999999,1.4510502671697378,17.621460431686835,22.1
92,0.040663250637337695,4.1887902047863905,40.0,0.133,1.910788965678962,23.495280575582452,22.1
93,0.04127472809053074,4.1887902047863905,40.0,0.135,1.9395226343357885,23.495280575582452,22.1
94,0.040663250637337695,4.1887902047863905,40.0,0.133,1.910788965678962,23.495280575582452,22.1
111,0.04035751191074116,5.235987755982989,50.0,0.165,2.370527664188186,29.369100719478066,22.1
112,0.0408466938732956,5.235987755982989,50.0,0.16699999999999998,2.399261332845012,29.369100719478066,22.1
113,0.04035751191074116,5.235987755982989,50.0,0.165,2.370527664188186,29.369100719478066,22.1
114,0.04035751191074116,5.235987755982989,50.0,0.165,2.370527664188186,29.369100719478066,22.1
115,0.0408466938732956,5.235987755982989,50.0,0.16699999999999998,2.399261332845012,29.369100719478066,22.1
132,0.03974603445754813,6.283185307179585,60.0,0.195,2.8015326940405836,35.24292086337367,22.1
133,0.040357511910741176,6.283185307179585,60.0,0.198,2.844633197025823,35.24292086337367,22.1
134,0.03994986027527914,6.283185307179585,60.0,0.196,2.8158995283689965,35.24292086337367,22.1
135,0.040357511910741176,6.283185307179585,60.0,0.198,2.844633197025823,35.24292086337367,22.1
136,0.03974603445754813,6.283185307179585,60.0,0.195,2.8015326940405836,35.24292086337367,22.1
137,0.040357511910741176,6.283185307179585,60.0,0.198,2.844633197025823,35.24292086337367,22.1
154,0.03983338837943284,7.330382858376184,70.0,0.228,3.2756382268782205,41.11674100726929,22.1
155,0.03948397269189395,7.330382858376184,70.0,0.226,3.246904558221394,41.11674100726929,22.1
156,0.0396586805356634,7.330382858376184,70.0,0.22699999999999998,3.261271392549807,41.11674100726929,22.1
157,0.03983338837943284,7.330382858376184,70.0,0.228,3.2756382268782205,41.11674100726929,22.1
158,0.03948397269189395,7.330382858376184,70.0,0.226,3.246904558221394,41.11674100726929,22.1
159,0.03983338837943284,7.330382858376184,70.0,0.228,3.2756382268782205,41.11674100726929,22.1
160,0.0396586805356634,7.330382858376184,70.0,0.22699999999999998,3.261271392549807,41.11674100726929,22.1
177,0.03928742636765333,8.377580409572781,80.0,0.257,3.692276422402205,46.990561151164904,22.1
178,0.039134557004355065,8.377580409572781,80.0,0.256,3.677909588073791,46.990561151164904,22.1
179,0.03944029573095159,8.377580409572781,80.0,0.258,3.706643256730618,46.990561151164904,22.1
180,0.03928742636765333,8.377580409572781,80.0,0.257,3.692276422402205,46.990561151164904,22.1
181,0.039134557004355065,8.377580409572781,80.0,0.256,3.677909588073791,46.990561151164904,22.1
198,0.03899867312586772,9.42477796076938,90.0,0.287,4.123281452254601,52.86438129506052,22.1
199,0.03886278924738038,9.42477796076938,90.0,0.28600000000000003,4.108914617926189,52.86438129506052,22.1
200,0.03886278924738038,9.42477796076938,90.0,0.28600000000000003,4.108914617926189,52.86438129506052,22.1
217,0.03876767053243924,10.471975511965978,100.0,0.317,4.554286482107,58.73820143895613,22.1
218,0.03864537504180063,10.471975511965978,100.0,0.316,4.539919647778586,58.73820143895613,22.1
219,0.03864537504180063,10.471975511965978,100.0,0.316,4.539919647778586,58.73820143895613,22.1
236,0.038552197525123594,10.995574287564276,105.0,0.331,4.755422162704785,61.67511151090394,22.1
