,Viscosity,Angular velocity, Speed,Torque,Shear Stress,Shear Rate,Temperature
10,0.041784292634858264,1.2566370614359172,12.0,0.040999999999999995,0.589040207464943,7.048584172674736,22.2
27,0.040285573386836096,1.7802358370342162,17.0,0.055999999999999994,0.8045427223911418,9.985494244622542,22.2
28,0.040285573386836096,1.7802358370342162,17.0,0.055999999999999994,0.8045427223911418,9.985494244622542,22.2
29,0.041004958625886746,1.7802358370342162,17.0,0.057,0.8189095567195551,9.985494244622542,22.2
30,0.041004958625886746,1.7802358370342162,17.0,0.057,0.8189095567195551,9.985494244622542,22.2
47,0.03946809016064219,2.3038346126325147,22.0,0.071,1.0200452373173405,12.922404316570347,22.2
48,0.040023978754454057,2.3038346126325147,22.0,0.07200000000000001,1.0344120716457539,12.922404316570347,22.2
65,0.039542208639817104,3.1415926535897927,30.0,0.09699999999999999,1.393582929856085,17.621460431686835,22.2
66,0.03994986027527914,3.1415926535897927,30.0,0.098,1.4079497641844982,17.621460431686835,22.1
67,0.03994986027527914,3.1415926535897927,30.0,0.098,1.4079497641844982,17.621460431686835,22.2
68,0.03994986027527914,3.1415926535897927,30.0,0.098,1.4079497641844982,17.621460431686835,22.1
69,0.039542208639817104,3.1415926535897927,30.0,0.09699999999999999,1.393582929856085,17.621460431686835,22.1
70,0.03994986027527914,3.1415926535897927,30.0,0.098,1.4079497641844982,17.621460431686835,22.1
71,0.040357511910741176,3.1415926535897927,30.0,0.099,1.4223165985129116,17.621460431686835,22.1
72,0.040357511910741176,3.1415926535897927,30.0,0.099,1.4223165985129116,17.621460431686835,22.1
73,0.039542208639817104,3.1415926535897927,30.0,0.09699999999999999,1.393582929856085,17.621460431686835,22.1
74,0.03994986027527914,3.1415926535897927,30.0,0.098,1.4079497641844982,17.621460431686835,22.1
75,0.039542208639817104,3.1415926535897927,30.0,0.09699999999999999,1.393582929856085,17.621460431686835,22.1
76,0.03994986027527914,3.1415926535897927,30.0,0.098,1.4079497641844982,17.621460431686835,22.1
77,0.039542208639817104,3.1415926535897927,30.0,0.09699999999999999,1.393582929856085,17.621460431686835,22.1
94,0.04005177318414464,4.1887902047863905,40.0,0.131,1.8820552970221354,23.495280575582452,22.1
95,0.03974603445754812,4.1887902047863905,40.0,0.13,1.8676884626937222,23.495280575582452,22.1
112,0.03937914798563229,5.235987755982989,50.0,0.161,2.313060326874533,29.369100719478066,22.1
113,0.03986832994818673,5.235987755982989,50.0,0.163,2.3417939955313596,29.369100719478066,22.1
114,0.03937914798563229,5.235987755982989,50.0,0.161,2.313060326874533,29.369100719478066,22.1
115,0.03937914798563229,5.235987755982989,50.0,0.161,2.313060326874533,29.369100719478066,22.1
116,0.03986832994818673,5.235987755982989,50.0,0.163,2.3417939955313596,29.369100719478066,22.1
117,0.03937914798563229,5.235987755982989,50.0,0.161,2.313060326874533,29.369100719478066,22.1
118,0.03986832994818673,5.235987755982989,50.0,0.163,2.3417939955313596,29.369100719478066,22.1
119,0.03937914798563229,5.235987755982989,50.0,0.161,2.313060326874533,29.369100719478066,22.1
120,0.03962373896690951,5.235987755982989,50.0,0.162,2.3274271612029462,29.369100719478066,22.1
137,0.039542208639817104,6.283185307179585,60.0,0.19399999999999998,2.78716585971217,35.24292086337367,22.1
138,0.03893073118662406,6.283185307179585,60.0,0.191,2.74406535672693,35.24292086337367,22.1
139,0.0393383828220861,6.283185307179585,60.0,0.193,2.772799025383757,35.24292086337367,22.1
140,0.03893073118662406,6.283185307179585,60.0,0.191,2.74406535672693,35.24292086337367,22.1
141,0.039542208639817104,6.283185307179585,60.0,0.19399999999999998,2.78716585971217,35.24292086337367,22.1
142,0.03893073118662406,6.283185307179585,60.0,0.191,2.74406535672693,35.24292086337367,22.1
143,0.0393383828220861,6.283185307179585,60.0,0.193,2.772799025383757,35.24292086337367,22.1
144,0.03913455700435508,6.283185307179585,60.0,0.192,2.7584321910553435,35.24292086337367,22.1
161,0.03878514131681619,7.330382858376184,70.0,0.222,3.1894372209077413,41.11674100726929,22.1
162,0.03878514131681619,7.330382858376184,70.0,0.222,3.1894372209077413,41.11674100726929,22.1
163,0.03861043347304674,7.330382858376184,70.0,0.221,3.1750703865793275,41.11674100726929,22.1
164,0.038959849160585626,7.330382858376184,70.0,0.223,3.203804055236154,41.11674100726929,22.1
181,0.03867594891446028,8.377580409572781,80.0,0.253,3.6348090850885515,46.990561151164904,22.1
182,0.038370210187863754,8.377580409572781,80.0,0.251,3.606075416431725,46.990561151164904,22.1
183,0.038217340824565495,8.377580409572781,80.0,0.25,3.591708582103312,46.990561151164904,22.1
200,0.03804748597645632,9.42477796076938,90.0,0.28,4.02271361195571,52.86438129506052,22.1
201,0.03804748597645632,9.42477796076938,90.0,0.28,4.02271361195571,52.86438129506052,22.1
202,0.038183369854943666,9.42477796076938,90.0,0.281,4.037080446284123,52.86438129506052,22.1
203,0.038183369854943666,9.42477796076938,90.0,0.281,4.037080446284123,52.86438129506052,22.1
204,0.038183369854943666,9.42477796076938,90.0,0.281,4.037080446284123,52.86438129506052,22.1
205,0.03804748597645632,9.42477796076938,90.0,0.28,4.02271361195571,52.86438129506052,22.1
206,0.03804748597645632,9.42477796076938,90.0,0.28,4.02271361195571,52.86438129506052,22.1
223,0.03778930660733036,10.471975511965978,100.0,0.309,4.439351807479693,58.73820143895613,22.1
